,Node1_ID,Node2_ID,Score
0,5,645,0.25347566641583513
1,5,1716,0.3145487272383379
2,7,2126,0.28820514179796514
3,7,2164,0.5274685631508748
4,8,869,0.32733172319687404
5,9,13,0.3934524463966287
6,9,696,0.561606322160064
7,9,820,0.40160613027184777
8,9,1170,0.26279100474748857
9,11,235,0.3232296920139784
10,13,696,0.5976158068605069
11,13,1049,0.28631968173707384
12,17,139,0.30615612616150517
13,17,555,0.256047839166914
14,20,1972,0.3642208971753123
15,21,1245,0.2801075241808496
16,21,1277,0.25370076369998024
17,36,1430,0.3448978620517
18,41,1779,0.25287461924510696
19,42,806,0.25125239256806736
20,48,404,0.26912942047258964
21,48,793,0.2579057041365204
22,48,1522,0.32358137249894847
23,54,1865,0.30599516176798525
24,73,74,0.37044107543939847
25,73,75,0.4760415080275838
26,73,2189,0.34820664750191077
27,73,2193,0.27558963518352414
28,73,2200,0.2817767390819123
29,74,75,0.5609058444224753
30,74,1577,0.4592082545383804
31,74,1805,0.2602180252066679
32,75,786,0.29084304297270813
33,75,1136,0.2570330585774178
34,75,1883,0.2961675788302568
35,86,1373,0.3083948556513693
36,105,2189,0.2766670538157749
37,110,2300,0.4712773666559489
38,110,2349,0.2770495909275293
39,114,1278,0.2542803653364286
40,116,563,0.2511672962764294
41,116,1707,0.38505603895092433
42,120,1296,0.2513000844316355
43,120,1303,0.30704432557848416
44,120,1421,0.29406354856998596
45,120,2123,0.27127130939627037
46,120,2164,0.27303118759348954
47,122,1597,0.40261800136254333
48,122,2305,0.264164217094695
49,125,134,0.38961510115540937
50,131,233,0.5162958833425717
51,137,1272,0.33059290035069183
52,139,555,0.3405366062670025
53,139,2150,0.3097396203227423
54,150,1474,0.37833972422783524
55,151,304,0.343190879375614
56,151,325,0.39636586366731674
57,151,1210,0.3222725264915188
58,154,183,0.4496541225003269
59,154,975,0.6171168864144275
60,154,1040,0.2798508685123712
61,154,1149,0.5450450013823149
62,154,1366,0.384640352680002
63,154,1627,0.29103191089952046
64,154,1674,0.26068028078011485
65,154,1768,0.26222926423719295
66,154,1782,0.3713354460269172
67,154,1811,0.36036045750522716
68,156,283,0.374700439041696
69,156,1265,0.3634021167164558
70,156,1859,0.29637949728591134
71,159,204,0.48847044583814053
72,164,641,0.26783255095083247
73,164,1205,0.2537086066531122
74,164,1819,0.25195620292477783
75,165,2150,0.4086101399526174
76,166,820,0.25664511989604244
77,166,884,0.2514301605010186
78,166,1487,0.3339155763074776
79,166,2096,0.2856252925316811
80,168,281,0.29156535456253624
81,169,1329,0.2532258061527069
82,169,1976,0.2724551261720925
83,177,553,0.37999913434338456
84,177,593,0.35698304616427745
85,177,594,0.3177406784936932
86,177,2164,0.28921137372363
87,181,239,0.25055547706449083
88,183,200,0.31800437803768883
89,183,486,0.2576185627538005
90,183,975,0.38211531423844985
91,183,1149,0.3098672945692017
92,183,1782,0.30817938618514545
93,184,1057,0.27310262726316775
94,184,1436,0.41880472013325754
95,184,1440,0.3973427247151416
96,187,519,0.2528578131973769
97,188,1653,0.61987261067092
98,188,1856,0.3119685517327846
99,199,882,0.26501717256321944
100,199,1177,0.2661738314194971
101,199,1214,0.4565616200175398
102,199,1366,0.3736370670147099
103,200,208,0.2902414818907839
104,200,327,0.2676573223011492
105,200,486,0.2695639565300809
106,200,487,0.300885169211697
107,200,528,0.2740024223925084
108,200,1839,0.2934649685723023
109,203,1280,0.36563001270541534
110,203,1814,0.382584804250117
111,203,2063,0.42193183252064087
112,208,327,0.40056902180859233
113,208,1366,0.2691199901981487
114,213,221,0.3025095979829558
115,213,446,0.32014632700910234
116,213,823,0.282881370898698
117,213,1049,0.3261068411329907
118,213,1335,0.2569004311435594
119,213,1624,0.36030912578647295
120,213,2303,0.28059145350448833
121,213,2304,0.29037016113418723
122,217,1138,0.38790253051764934
123,217,1860,0.27626904380639955
124,220,788,0.41465825045534477
125,221,446,0.4546427205928239
126,221,555,0.26464674554895884
127,221,1049,0.2963184798503543
128,221,1187,0.25082120614958164
129,221,1259,0.2562616598094996
130,221,1410,0.25709749478028693
131,221,1463,0.2550406042994421
132,221,1864,0.2850124473993184
133,221,2303,0.30426180541187653
134,221,2304,0.31044966162942783
135,222,1678,0.3004296207944727
136,223,608,0.25076131472932783
137,223,1405,0.3150994563498783
138,223,1824,0.37500400087055513
139,231,403,0.3005122900252744
140,231,884,0.2667149601978481
141,231,983,0.2577253233619961
142,231,1683,0.2622445298705597
143,239,1139,0.26719539760792976
144,240,763,0.3851448203675107
145,240,820,0.39377718531599276
146,257,1185,0.40504736309771355
147,257,1186,0.3147154278807208
148,257,1494,0.38706451399025776
149,257,2061,0.3064473905245145
150,262,276,0.3380278874756896
151,263,522,0.2931566220657604
152,276,1750,0.33621494613567987
153,276,1781,0.31576261962165947
154,276,2184,0.29015104674229825
155,281,516,0.25345508746219536
156,281,908,0.26614298108706397
157,281,1035,0.3123400445009122
158,281,1205,0.2781066071473235
159,282,1072,0.2718181897474607
160,283,304,0.2860564719491251
161,283,496,0.28404529800996947
162,283,543,0.289827984059591
163,283,793,0.4205491969928344
164,283,1252,0.2875572381718872
165,283,1272,0.2509501643195174
166,283,1277,0.36853724716341707
167,283,1474,0.27197356932687394
168,283,2081,0.3323543582563987
169,285,1035,0.33822175141816807
170,285,1211,0.26607494716659974
171,285,1389,0.2770402925534618
172,289,1758,0.3083881234976114
173,295,298,0.5380477398990675
174,295,1684,0.5376639870682346
175,296,1967,0.30019303753287285
176,296,2355,0.3216077993136652
177,298,1684,0.32903160646873436
178,299,1348,0.32266209671204676
179,300,662,0.3241775584588506
180,300,663,0.2782382592988117
181,300,960,0.2520954326067962
182,300,1830,0.3191001717732124
183,301,366,0.5706318440023862
184,301,1057,0.47830257658929565
185,301,1436,0.29800252120566784
186,301,1440,0.31985140311956495
187,301,2065,0.25293822332833077
188,302,523,0.3128832618660328
189,302,1272,0.29466188084572154
190,302,1325,0.27372962136402396
191,302,1895,0.3826236162883435
192,303,1873,0.2785413378539799
193,304,1210,0.45067109179058895
194,305,2166,0.2947534335296975
195,308,2002,0.26679382621723674
196,309,2009,0.31067214484010086
197,312,1372,0.35373563496398414
198,312,1428,0.2887073684902985
199,312,1694,0.28739026315940364
200,313,381,0.28457387611055013
201,313,382,0.31763410185300606
202,313,620,0.3410622252385667
203,313,848,0.3160017680420406
204,313,1504,0.28355964893211677
205,316,874,0.251380015331987
206,316,885,0.42254653336289993
207,316,1437,0.3315999517584922
208,318,777,0.26926827749447213
209,319,1990,0.25346630865216885
210,320,551,0.3921375068204464
211,320,983,0.3020636138414866
212,320,1081,0.4584670672627963
213,320,1695,0.34014655813124445
214,324,350,0.32714997091686837
215,324,1189,0.30240986691191934
216,325,1210,0.2640226681193267
217,326,506,0.2772114606662121
218,326,2164,0.2513854267821947
219,327,1070,0.29304214784266536
220,327,1366,0.35805778883171147
221,327,1483,0.25852819485500017
222,330,459,0.435502655151956
223,330,925,0.4553198885686964
224,330,1210,0.3052250506040489
225,330,1676,0.34766523763943646
226,330,1814,0.3259042530564496
227,331,389,0.26021130443811297
