,NodeID,Repository,About_Topics,OwnerName,OwnerType,StarsNorm,ForkNorm,WatcherNorm
687,688,dlwpt-code,"Code for the book Deep Learning with PyTorch by Eli Stevens, Luca Antiga, and Thomas Viehmann. || pytorch,deep-learning,deep-neural-networks,python,python3",deep-learning-with-pytorch,Organization,0.478854479005922,0.547856407157534,0.435682457148241
689,690,kill-the-bits,"Code for: ""And the bit goes down: Revisiting the quantization of neural networks"" || ",Facebook,Organization,0.337506624478434,0.391960794480098,0.335028931633978
695,696,Deep-Learning-with-Keras,Code repository for Deep Learning with Keras published by Packt || ,PacktPublishing,Organization,0.363204238997465,0.488552757428058,0.435682457148241
697,698,ai-fundamentals,Code samples for AI fundamentals || ,MicrosoftDocs,Organization,0.34147389494432,0.45210034769585,0.363121577302764
703,704,universal-data-tool,"Collaborate & label any type of data, images, text, or documents, in an easy web interface or desktop app. || computer-vision,annotate-images,entity-recognition,desktop,classification,dataset,annotation-tool,deep-learning,text-annotation,named-entity-recognition,text-labeling,semantic-segmentation,image-segmentation,image-labeling-tool,machine-learning,image-annotation,csv,labeling,labeling-tool,hacktoberfest",UniversalDataTool,Organization,0.391477952303009,0.396685221893817,0.344705601831862
704,705,Awesome-Interview,"Collection of awesome interview references. || interview,interview-preparation,interview-practice,interviews,interview-prep,backend,frontend,cpp,java,python,machine-learning,deep-learning,ios,android",Awesome-Interview,Organization,0.405708064263462,0.422443000846335,0.386905630411074
706,707,awesome-CoreML-models,"Collection of models for Core ML  || machine-learning,ios,ios11,coreml,model,ai,coreml-models,coreml-framework,coremltools,machine-learning-models,swift,deep-learning,awesome,awesome-list",SwiftBrain,Organization,0.330512407698148,0.381779871013217,0.34714103765452
711,712,lightning-flash,"Collection of tasks for fast prototyping, baselining, finetuning and solving problems with deep learning. || pytorch-lightning,deep-learning,machine-learning,pytorch,tasks-flash,classification,tabular-data,computer-vision,nlp",PyTorchLightning,Organization,0.346038646288061,0.382560221980016,0.342276584998715
713,714,C-Plus-Plus,"Collection of various algorithms in mathematics, machine learning, computer science and physics implemented in C++ for educational purposes. || cpp,algorithm,algorithms-implemented,data-structures,algorithm-competitions,algorithms,interview-preparation,interview-questions,search,sort,educational,instructor-materials,machine-learning-algorithms,artificial-intelligence-algorithms,hacktoberfest,computer-science,machine-learning,mathematics",The Algorithms,Organization,0.962272697121367,0.886373680821085,0.813628634290518
714,715,C,"Collection of various algorithms in mathematics, machine learning, computer science, physics, etc implemented in C for educational purposes. || algorithms,data-structures,datastructures,c,algorithm-challenges,algorithm-competitions,education,learn-to-code,interview-questions,interview,community-driven,mathematics,hacktoberfest,sort,educational,machine-learning-algorithms,machine-learning,computer-science,search",The Algorithms,Organization,0.875689461618702,0.765281075650186,0.87401670957778
717,718,gans-in-action,"Companion repository to GANs in Action: Deep learning with Generative Adversarial Networks || gan,gans,generative-adversarial-network,artificial-intelligence,ai,deep-learning,deep-neural-networks,artificial-intelligence-algorithms,semi-supervised-learning,dcgan,conditional-gan,cycle-gan",GANs-in-Action,Organization,0.347909623033383,0.422923504650215,0.349582802948725
718,719,mml-book.github.io,"Companion webpage to the book ""Mathematics For Machine Learning"" || ",mml-book,Organization,0.844855178252959,0.656073484001993,0.83164478052779
719,720,glow,Compiler for Neural Network hardware accelerators || ,Facebook,Organization,0.463559193744596,0.461350206974921,0.492042498984766
