,NodeID,Repository,About_Topics,OwnerName,OwnerType,StarsNorm,ForkNorm,WatcherNorm
4,4,airsonic," :satellite: :cloud: :notes:Airsonic, a Free and Open Source community driven media server (fork of Subsonic and Libresonic) || audio,streaming,java,self-hosted,airsonic,video,dlna,subsonic,music,media-server,media-center,sonos",Airsonic,Organization,0.415697337951734,0.407608049122259,0.38185961771887
5,5,recsim," A Configurable Recommender Systems Simulation Platform || reinforcement-learning,recommender-system,machine-learning,simulation,artificial-intelligence,tensorflow,google",Alphabet,Organization,0.331145851192786,0.38584287167389,0.345922522945854
6,6,FinRL," A Deep Reinforcement Learning Library for Automated Trading in Quantitative Finance. NeurIPS 2020. 🔥 || deep-reinforcement-learning,drl-trading-agents,stock-trading,drl-algorithms,finrl-library,pythorch,tensorflow2,drl-framework,multi-agent-learning,finance,stock-markets,trading-tasks,openai-gym,fintech",AI4Finance,Organization,0.442309951074885,0.463625500040153,0.446104075339276
7,7,imbalanced-learn," A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning || machine-learning,python,statistics,data-science,data-analysis",Scikit-learn,Organization,0.654737320049206,0.550286505996656,0.490725581197631
8,8,aiyprojects-raspbian," API libraries, samples, and system images for AIY Projects (Voice Kit and Vision Kit) || raspberry-pi,ai,python,maker",Alphabet,Organization,0.394366842847043,0.479418696753275,0.517064050964419
9,9,Advanced-Deep-Learning-with-Keras," Advanced Deep Learning with Keras, published by Packt || keras,gan,vae,reinforcement-learning,autoencoder,deep-learning",PacktPublishing,Organization,0.360846311881145,0.466877965321031,0.364361202902065
11,11,mlsh," Code for the paper ""Meta-Learning Shared Hierarchies"" || paper",OpenAI,Organization,0.333684445543534,0.39510868938026,0.358177515341146
12,12,teachable-machine-v1," Explore how machine learning works, live in the browser. No coding required. || teachable-machine,machine-learning",Alphabet,Organization,0.547466070141048,0.461350206974921,0.509165097638715
13,13,Deep-Reinforcement-Learning-Hands-On," Hands-on Deep Reinforcement Learning, published by Packt || ",PacktPublishing,Organization,0.435765052385622,0.542504001302897,0.456563061615243
17,17,lectures," Oxford Deep NLP 2017 course || deep-learning,machine-learning,natural-language-processing,nlp,oxford",oxford-cs-deepnlp-2017,Organization,0.981938391358685,0.875385797204125,0.999861084687335
20,20,robosat," Semantic segmentation on aerial and satellite imagery. Extracts features such as: buildings, parking lots, roads, water, clouds || satellite-imagery,aerial-imagery,machine-learning,segmentation,openstreetmap",Mapbox,Organization,0.412293162741091,0.427413644068099,0.509165097638715
21,21,tfx," TFX is an end-to-end platform for deploying production ML pipelines || tensorflow,machine-learning,apache-beam",TensorFlow,Organization,0.394434096208748,0.445624406898595,0.426599785478744
36,36,nnvm," || computation-graph,deep-learning,optimization,deployment,nnvm,tvm,cuda,opencl,rocm,metal",Distributed Machine Learning Community,Organization,0.405301593103604,0.418922876924338,0.489408764500325
41,41,ScanNet," || rgbd,3d-reconstruction,computer-vision,computer-graphics,deep-learning",ScanNet,Organization,0.358558941573544,0.410628831487582,0.359411341200661
42,42,TensorFlow-LiveLessons,"""Deep Learning with TensorFlow"" LiveLessons || ",the-deep-learners,Organization,0.349525513577412,0.471272264060025,0.446104075339276
43,43,mlir,"""Multi-Level Intermediate Representation"" Compiler Infrastructure || ",TensorFlow,Organization,0.406385741972184,0.413973762442683,0.528898967291921
44,44,pml-book,"""Probabilistic Machine Learning"" - a book series by Kevin Murphy || ",probml,Organization,0.366290450912366,0.387722365264819,0.34714103765452
47,48,spark-sklearn,"(Deprecated) Scikit-learn integration package for Apache Spark || apache-spark,scikit-learn,grid-search,parameter-tuning,machine-learning",Databricks,Organization,0.366421972759777,0.409833366800503,0.413692928571388
51,52,efficientdet,"(Pretrained weights provided) EfficientDet: Scalable and Efficient Object Detection implementation by Signatrix GmbH || efficientdet,object-detection,pytorch,deep-learning,neural-network,efficientnet,coco-dataset",Signatrix,Organization,0.334956612891431,0.395739097932869,0.34349028547767
53,54,TensorFlow.NET,".NET Standard bindings for Google's TensorFlow for developing, training and deploying Machine Learning models in C# and F#. || tensorflow,machine-learning,scisharp,deep-learning,dotnetcore,chatbot,csharp",SciSharp,Organization,0.42676912268014,0.429019578384292,0.46049335078752
54,55,spark,".NET for Apache® Spark™ makes Apache Spark™ easily accessible to .NET developers. || spark,csharp,dotnet,analytics,bigdata,spark-streaming,spark-sql,machine-learning,fsharp,dotnet-core,dotnet-standard,streaming,apache-spark,tpcds,tpch,azure,hdinsight,databricks,emr,microsoft",.NET Foundation,Organization,0.405437072165024,0.411743099208603,0.405992402995092
56,57,100-Days-Of-ML-Code,"100-Days-Of-ML-Code中文版 || machine-learning,python,100-days-of-ml-code,chinese-simplified,infographics,tutorial,jupyter-notebook,tensorflow,keras,supervised-learning,unsupervised-learning,deep-learning",MLEveryday,Organization,0.990416486535491,0.940157420713143,0.998931611870749
57,58,18337,"18.337 - Parallel Computing and Scientific Machine Learning || differential-equations,scientific-machine-learning,neural-networks,numerical-methods,gpu-computing,stiff-equations,lecture-notes,performance-engineering,parallelism,scientific-simulators,neural-ode,neural-sde,sciml",Massachusetts Institute of Technology,Organization,0.359734675796591,0.398263445067991,0.378088185069213
72,73,hands-on-ml-zh,":book: [译] Sklearn 与 TensorFlow 机器学习实用指南【版权问题，网站已下线！！】 || tensorflow,sklearn,python,machine-learning,deep-learning,book",Apache China,Organization,0.535610787169874,0.615835938447699,0.647867447697009
73,74,sklearn-doc-zh,":book: [译] scikit-learn（sklearn） 中文文档 || python,scikit-learn,documentation,machine-learning",Apache China,Organization,0.586825401761696,0.590760311518232,0.568106811541222
74,75,fe4ml-zh,":book: [译] 面向机器学习的特征工程 || python,feature-engineering,machine-learning,book",Apache China,Organization,0.44576108694322,0.4755071255355,0.440888148932698
79,80,EvalAI,":cloud: :rocket: :bar_chart: :chart_with_upwards_trend: Evaluating state of the art in AI || ai,machine-learning,django,angularjs,python,ai-challenges,docker,reproducible-research,reproducibility,evaluation,challenge,evalai,leaderboard,artificial-intelligence,angular7",CloudCV,Organization,0.371761635692357,0.462812754874991,0.368088554175208
85,86,Fabrik,":factory: Collaboratively build, visualize, and design neural nets in browser || neural-network,visualization,ide,caffe,keras,tensorflow",CloudCV,Organization,0.368264919642283,0.410469709026778,0.373077681850533
94,95,insuranceqa-corpus-zh,":helicopter: 保险行业语料库，聊天机器人 || corpus,chatbot,qasystem,natural-language-processing,natural-language-understanding,machine-learning,dataset,question-answering,insurance,insuranceqa-corpus-zh",Chatopera,Organization,0.352376098486059,0.423083698106551,0.374328334221547
95,96,FARM,":house_with_garden: Fast & easy transfer learning for NLP. Harvesting language models for the industry. Focus on Question Answering. || language-models,bert,nlp,deep-learning,transfer-learning,pytorch,nlp-library,nlp-framework,xlnet-pytorch,ner,question-answering,pretrained-models,roberta,germanbert",Deepset.ai,Organization,0.377192461954803,0.402057930962637,0.359411341200661
97,98,awesome-datascience,":memo: An awesome Data Science repository to learn and apply for real world problems. || data-science,machine-learning,data-visualization,science,data-mining,awesome-list,deep-learning,analytics,data-scientists,hacktoberfest",academic,Organization,0.988196326973722,0.936421214616085,0.99999154072023
104,105,papers-notebook,":page_facing_up: :cn: :page_with_curl: 论文阅读笔记（分布式系统、虚拟化、机器学习）Papers Notebook (Distributed System, Virtualization, Machine Learning), created by @gaocegege  || paper,notes,class,computer-system,operating-system,chinese,gaocegege",Shanghai Jiao Tong University,Organization,0.398002980273537,0.403483267338516,0.477564329024247
109,110,TTS,":robot: :speech_balloon: Deep learning for Text to Speech  (Discussion forum: https://discourse.mozilla.org/c/tts) || deep-learning,text-to-speech,python,pytorch,tacotron,tts,speaker-encoder,dataset-analysis,tacotron2,tensorflow2,vocoder,melgan,gantts,multiband-melgan,glow-tts,speech",Mozilla,Organization,0.621016906502285,0.49916200427593,0.506531161022138
113,114,deep-learning-roadmap,":satellite: All You Need to Know About Deep Learning - A kick-starter || deep-learning,resources",Instill AI,Organization,0.575288884819575,0.473877978915595,0.584913470765714
115,116,TensorFlow-Course,":satellite: Simple and ready-to-use tutorials for TensorFlow  || tensorflow,python,deep-learning,deep-learning-tutorial",Instill AI,Organization,0.986233421324025,0.832476525846219,0.986857364928233
119,120,machine-learning-course,":speech_balloon: Machine Learning Course with Python:  || python,machine-learning,machine-learning-algorithms,artificial-intelligence,algorithms",Instill AI,Organization,0.738736202652133,0.570134127945446,0.693233776674251
121,122,rasa-demo,:tiger: Sara - the Rasa Demo Bot: An example of a contextual AI assistant built with the open source Rasa Stack || conversation-driven-development,RasaHQ,Organization,0.33878444314039,0.476810739036247,0.374328334221547
122,123,Optimus,":truck: Agile Data Preparation Workflows made easy with pandas, dask, cudf, dask_cudf and pyspark || spark,pyspark,data-wrangling,bigdata,big-data-cleaning,data-science,data-cleansing,data-cleaner,data-transformation,machine-learning,data-profiling,data-extraction,data-exploration,data-analysis,data-preparation,cudf,dask,dask-cudf,data-cleaning",Iron,Organization,0.363728931282131,0.404117163128459,0.356945168759366
124,125,usaddress,":us: a python library for parsing unstructured address strings into address components || python-library,address,nlp,parserator,python,address-parser,natural-language-processing,machine-learning,conditional-random-fields,crf",DataMade,Organization,0.37792286567937,0.411265468189317,0.353257120898295
125,126,unity-sdk,":video_game: Unity SDK to use the IBM Watson services. || bluemix,watson-sdk,watson,unity-sdk,unity3d,cognitive,vr,artificial-intelligence,hacktoberfest,watson-services,ibm-cloud",IBM,Organization,0.333875149241064,0.407131580331095,0.411122240420513
130,131,godot-2d-space-game,"A 2D space exploration and mining game made with Godot and our AI framework || godot-game,godot,godot-engine,gdscript,game-development,ai,artificial-intelligence,steering-behaviors,procedural-generation,space-mining-game,space",GDQuest,Organization,0.330385777169752,0.382560221980016,0.330230862626886
132,133,Winds,"A Beautiful Open Source RSS & Podcast App Powered by Getstream.io || personalization,rss-reader,machine-learning,activity-stream,newsfeed,podcasts,podcast-client,electron,electron-app,react,create-react-app,redux,algolia-api,getstream,express,react-native,rss,podcast,feed",GetStream,Organization,0.823508442566831,0.461025266600819,0.593901293367133
133,134,libpostal,"A C library for parsing/normalizing street addresses around the world. Powered by statistical NLP and open geo data. || address-parser,machine-learning,nlp,address,international,c,deduplication,record-linkage,deduping,natural-language-processing",Mapzen,Organization,0.509028223041713,0.426611125982917,0.451329344981785
135,136,pagmo2,"A C++ platform to perform parallel computations of optimisation tasks (global and local) via the asynchronous generalized island model. || optimization,optimization-algorithms,optimization-methods,optimization-tools,parallel-computing,parallel-processing,evolutionary-algorithms,multi-objective-optimization,stochastic-optimizers,genetic-algorithm,metaheuristics,evolutionary-strategy,artificial-intelligence,pagmo,python3,python",European Space Agency,Organization,0.334256685339197,0.392589815196226,0.348361134743344
136,137,flashlight,"A C++ standalone library for machine learning || flashlight,machine-learning,autograd,cpp,deep-learning,neural-network,ml",Facebook,Organization,0.552653066412042,0.425327730113405,0.451329344981785
138,139,course-nlp,"A Code-First Introduction to NLP course || nlp,machine-learning,data-science,python",fast.ai,Organization,0.487420981979182,0.58007504202328,0.484142795485638
149,150,angel,"A Flexible and Powerful Parameter Server for large-scale machine learning || machine-learning,parameter-server,spark,scala,model,high-dimensional,online-learning,spark-streaming",Angel,Organization,0.715570929471178,0.62238416037141,0.843011083235034
150,151,tf-encrypted,"A Framework for Encrypted Machine Learning in TensorFlow || secure-computation,machine-learning,tensorflow,privacy,cryptography,deep-learning",TF Encrypted,Organization,0.355104871486058,0.396527492156884,0.363121577302764
152,153,DALI,"A GPU-accelerated library containing highly optimized building blocks and an execution engine for data processing to accelerate deep learning training and inference applications. || fast-data-pipeline,image-augmentation,data-augmentation,image-processing,data-processing,deep-learning,machine-learning,python,neural-network,gpu,gpu-tensorflow,audio-processing,pytorch,mxnet,paddle",NVIDIA,Organization,0.520939777886206,0.438517656744205,0.40983831879612
153,154,jraph,"A Graph Neural Network Library in Jax || graph-neural-networks,jax,machine-learning,deep-learning",Alphabet,Organization,0.337506624478434,0.377885377122853,0.335028931633978
155,156,MLJ.jl,"A Julia machine learning framework || machine-learning,julia,pipelines,tuning,data-science,tuning-parameters,predictive-modeling,classification,regression,statistics,clustering,stacking,ensemble-learning,pipeline",Alan Turing Institute,Organization,0.36912160801897,0.39086068833633,0.356945168759366
158,159,volcano,"A Kubernetes Native Batch System (Project under CNCF) || batch-systems,kubernetes,golang,hpc,bigdata,machine-learning,gene",Volcano,Organization,0.414811632626901,0.431269856013464,0.391970832135738
161,162,fashion-mnist,"A MNIST-like fashion product database. Benchmark :point_down:  || mnist,deep-learning,benchmark,machine-learning,dataset,computer-vision,fashion,fashion-mnist,gan,zalando,convolutional-neural-networks",Zalando Research,Organization,0.859882453247024,0.730573820077178,0.711532154396936
162,163,NSFWDetector,"A NSFW (aka porn) detector with CoreML || coreml,swift,lovoo,ios,ios-library,cocoapods,machine-learning",Lovoo,Organization,0.387791586299827,0.386469074249814,0.360646634646556
163,164,tensorpack,"A Neural Net Training Interface on TensorFlow, with focus on speed + flexibility || tensorflow,deep-learning,reinforcement-learning,neural-networks,machine-learning",Tensorpack,Organization,0.701240554967905,0.657878723754201,0.571997391830018
164,165,mmskeleton,"A OpenMMLAB toolbox  for human pose estimation, skeleton-based action recognition, and action synthesis. || action-recognition,deep-learning,graph-convolutional-network,pytorch,skeleton-based-action-recognition",OpenMMLab,Organization,0.446935423393073,0.502100374193171,0.390702777075251
165,166,MAgent,"A Platform for Many-agent Reinforcement Learning || reinforcement-learning,multi-agent,deep-learning",Geek.AI Organization,Organization,0.385250515235281,0.417484678160992,0.389435883283693
167,168,kaolin,"A PyTorch Library for Accelerating 3D Deep Learning Research || pytorch,3d-deep-learning,neural-networks,differentiable-rendering,artificial-intelligence,model-zoo",NVIDIA,Organization,0.466197896453649,0.428216462618321,0.442191205770946
168,169,torchdyn,"A PyTorch based library for all things neural differential equations || deep-learning,neural-network,neural-differential-equations,pytorch,dynamical-systems,control",DiffEqML,Organization,0.335784539488705,0.382248024169907,0.333826849278098
173,174,capsule-networks,"A PyTorch implementation of the NIPS 2017 paper ""Dynamic Routing Between Capsules"". || capsule-networks,mnist,pytorch,machine-learning",Gram.AI,Organization,0.40144526940977,0.424526008417106,0.371828365503688
176,177,tpot,"A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming. || machine-learning,python,data-science,automl,automation,scikit-learn,hyperparameter-optimization,model-selection,parameter-tuning,automated-machine-learning,random-forest,gradient-boosting,feature-engineering,xgboost",University of Pennsylvania,Organization,0.81148638031757,0.598849356902551,0.680364329138273
177,178,lightfm,"A Python implementation of LightFM, a hybrid recommendation algorithm. || machine-learning,recommender,python,matrix-factorization,learning-to-rank,recommender-system",Lyst,Organization,0.544904108696874,0.469481541439459,0.427895046102463
178,179,causalnex,"A Python library that helps data scientists to infer causation rather than observing correlation. || causal-inference,causal-models,causal-networks,bayesian-networks,bayesian-inference,machine-learning,data-science,causalnex",McKinsey,Organization,0.372951627018195,0.392747114294716,0.356945168759366
180,181,fairlearn,"A Python package to assess and improve fairness of machine learning models. || fairness-ml,fairness-ai,fairness,machine-learning,artificial-intelligence,unfairness-mitigation,fairness-assessment,ai,responsible-ai,harms,fairlearn-dashboard,fairlearn-algorithms,group-fairness,ai-systems",fairlearn,Organization,0.35914664193282,0.407766902466601,0.34349028547767
182,183,foolbox,"A Python toolbox to create adversarial examples that fool neural networks in PyTorch, TensorFlow, and JAX || adversarial-examples,machine-learning,python,adversarial-attacks,pytorch,tensorflow,jax,keras",Bethge Lab,Organization,0.425261952428494,0.429180236917178,0.356945168759366
183,184,simulator,"A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles || simulator,unity,game-engine,autonomous,self-driving-car,csharp,3d,machine-learning,tensorflow,api,unreal-engine,carla,airsim,artificial-intelligence,computer-vision,deep-learning,reinforcement-learning,autoware,baidu,ros",LG Silicon Valley Lab,Organization,0.388126298404657,0.44126122610124,0.404712424810699
185,186,RedisAI,"A Redis module for serving tensors and executing deep learning graphs || redisai,pytorch,tensorflow,onnxruntime,serving-tensors,machine-learning",RedisAI,Organization,0.335466011577225,0.383809774738754,0.335028931633978
186,187,FedML,"A Research-oriented Federated Learning Library. Supporting distributed computing, mobile/IoT on-device training, and standalone simulation. Best Paper Award at NeurIPS 2020 Federated Learning workshop. Join our Slack Community:(https://join.slack.com/t/fedml/shared_invite/zt-havwx1ee-a1xfOUrATNfc9DFqU~r34w) || machine-learning,federated-learning,pytorch,distributed-computing",FedML,Organization,0.340128152268914,0.40126663855376,0.345922522945854
187,188,linfa,"A Rust machine learning framework. || machine-learning,rust,algorithms,scientific-computing",Rust-ML,Organization,0.362810888116649,0.383809774738754,0.360646634646556
188,189,scio,"A Scala API for Apache Beam and Google Cloud Dataflow. || scala,bigquery,google-cloud,beam,dataflow,batch,streaming,data,ml,scio",Spotify,Organization,0.44010350270372,0.44255330185332,0.461804324596935
198,199,blocks,A Theano framework for building and training neural networks || ,Quebec Artificial Intelligence Institute,Organization,0.373150077166746,0.429983705047792,0.413692928571388
199,200,advertorch,"A Toolbox for Adversarial Robustness Research || pytorch,adversarial-examples,adversarial-example,adversarial-perturbations,adversarial-attacks,adversarial-machine-learning,adversarial-learning,robustness,toolbox,security,machine-learning,benchmarking",BorealisAI,Organization,0.354259449106798,0.39447855526346,0.341064511460443
202,203,tfjs,"A WebGL accelerated JavaScript library for training and deploying ML models. || deep-learning,typescript,webgl,javascript,machine-learning,neural-network,deep-neural-network,gpu-acceleration,wasm,web-assembly",TensorFlow,Organization,0.98339092757027,0.618022458928448,0.722701006977069
203,204,kube-batch,"A batch scheduler of kubernetes for high performance workload, e.g. AI/ML, BigData, HPC || kubernetes,k8s-sig-scheduling,machine-learning,bigdata,hpc",Kubernetes SIGs,Organization,0.351662666942284,0.410469709026778,0.373077681850533
207,208,mnist_challenge,A challenge to explore adversarial robustness of neural networks on MNIST. || ,MadryLab,Organization,0.331716363866698,0.395581470152186,0.338645289216042
210,211,gluon-api,"A clear, concise, simple yet powerful and efficient API for deep learning. || deep-learning,deep-learning-framework,deep-learning-tutorial,neural-network,neural-networks,imperative-programming,gluon",Gluon API,Organization,0.452329366412681,0.408561396161152,0.506531161022138
211,212,deep-review,"A collaboratively written review paper on deep learning, genomics, and precision medicine || deep-learning,neural-networks,review,genomics,manuscript,manubot",Greene Lab,Organization,0.373083923374957,0.415249679332856,0.470991970454475
212,213,ABigSurvey,"A collection of 500+ survey papers on Natural Language Processing (NLP) and Machine Learning (ML) || natural-language-processing,machine-learning,deep-learning,neural-networks,paper-list,surveys",Niutrans Research,Organization,0.380649106975935,0.398579290415201,0.407273386849989
216,217,lucid,"A collection of infrastructure and tools for research in neural network interpretability. || tensorflow,interpretability,visualization,machine-learning,colab,jupyter-notebook",TensorFlow,Organization,0.584169392485463,0.468667778441023,0.513115217464537
217,218,open-airplay,A collection of libraries for Apple's AirPlay protocol || ,openairplay,Organization,0.384983318343574,0.398421359423803,0.402155538034983
219,220,ml5-examples,A collection of ml5.js examples || ,NYU Interactive Telecommunications Program,Organization,0.337634322362999,0.446918491442685,0.355714313100428
220,221,nlp-notebooks,"A collection of notebooks for Natural Language Processing from NLP Town || natural-language-processing,text-mining,deep-learning,artificial-intelligence,nlp,word-embeddings",NLP Town,Organization,0.334702027290874,0.412061592600219,0.339854075878022
221,222,ml4a-ofx,A collection of openFrameworks apps for working with machine learning || ,Machine Learning for Artists,Organization,0.370704892848516,0.414611608273433,0.41626732103548
222,223,models,"A collection of pre-trained, state-of-the-art models in the ONNX format  || onnx,models,download,pretrained,deep-learning",Open Neural Network Exchange,Organization,0.54303338368179,0.500467950324316,0.511798634663899
224,225,mlkit,"A collection of sample apps to demonstrate how to use Google's ML Kit APIs on Android and iOS || barcode,barcode-scanner,face-detection,image-labeling,object-detection,text-recognition,language-identification,translation,smart-reply,mlkit,mlkit-android,google,ml-kit",Alphabet,Organization,0.377325230042954,0.547370169194952,0.402155538034983
225,226,vim-airline-themes,A collection of themes for vim-airline || ,vim-airline,Organization,0.401715580391288,0.421802508722727,0.359411341200661
230,231,dmlc-core,A common bricks library  for building scalable and portable distributed machine learning. || dmlc,Distributed Machine Learning Community,Organization,0.348361795556814,0.452424494164441,0.464427503429349
232,233,godot-steering-ai-framework,"A complete framework for Godot to create beautiful and complex AI motion. Works both in 2D and in 3D. || godot,ai,artificial-intelligence,steering-behaviors,game-development,agents,gdscript,algorithms,framework,godot-game-engine,godot-engine",GDQuest,Organization,0.33076572696298,0.380220612384819,0.34349028547767
234,235,LiteratureDL4Graph,"A comprehensive collection of recent papers on graph deep learning || machine-learning,deep-learning,papers,arxiv",Mila-Quebec AI Institute,Organization,0.486515235855624,0.461512686852112,0.548562117621398
238,239,AIF360,"A comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models. || ai,fairness-ai,fairness,fairness-testing,fairness-awareness-model,bias-detection,bias,bias-correction,bias-reduction,bias-finder,artificial-intelligence,discrimination,ibm-research-ai,ibm-research,machine-learning,deep-learning,codait,trusted-ai,r,python",IBM,Organization,0.389600015984043,0.444492557470266,0.403433465450369
239,240,Practical_RL,"A course in reinforcement learning in the wild || reinforcement-learning,course-materials,deep-learning,deep-reinforcement-learning,git-course,mooc,theano,lasagne,tensorflow,pytorch,pytorch-tutorials,keras,hacktoberfest",yandexdataschool,Organization,0.605299850457438,0.594730589371726,0.571997391830018
240,241,tensorflow-without-a-phd,A crash course in six episodes for software developers who want to become machine learning practitioners. || ,Alphabet,Organization,0.458009405908694,0.50830303154208,0.485459064395876
256,257,awesome-data-labeling,"A curated list of awesome data labeling tools || image-annotation,video-annotation,audio-annotation-tool,audio-annotation,image-labeling,image-labeling-tool,awesome,awesome-list,bounding-box,annotation,labeling,labeling-tool,annotation-tool,semantic-segmentation,deep-learning,3d-annotation,lidar,data-labeling,label-images,label-videos",Heartex,Organization,0.389868135961964,0.405544347099177,0.376833598113597
261,262,Awesome-Mobile-Machine-Learning,"A curated list of awesome mobile machine learning resources for iOS, Android, and edge devices. || ios-development,machine-learning,android-development,edge-computing,tutorials,technical-guides",Fritz AI,Organization,0.373811820478433,0.401424864755197,0.411122240420513
262,263,awesome-production-machine-learning,"A curated list of awesome open source libraries to deploy, monitor, version and scale your machine learning || machine-learning,mlops,interpretability,explainability,responsible-ai,deep-learning,machine-learning-operations,ml-ops,ml-operations,privacy-preserving,privacy-preserving-ml,privacy-preserving-machine-learning,data-mining,large-scale-ml,production-ml,large-scale-machine-learning,production-machine-learning,awesome,awesome-list",Institute for Ethical Machine Learning,Organization,0.859999163940456,0.573987862473318,0.777142319088078
275,276,awesome-starcraftAI,A curated list of resources dedicated to StarCraft AI. || ,SKTBrain,Organization,0.335147601881968,0.386155935890618,0.369333789551984
280,281,lab,"A customisable 3D platform for agent-based AI research || machine-learning,artificial-intelligence,neural-networks,deep-learning",Alphabet,Organization,0.727188502410156,0.585664792318655,0.863473492299723
281,282,dagster,"A data orchestrator for machine learning, analytics, and ETL. || data-pipelines,dagster,workflow,data-science,workflow-automation,python,scheduler,data-orchestrator,etl,analytics",Dagster,Organization,0.530817507121868,0.433844332090526,0.390702777075251
282,283,fuel,A data pipeline framework for machine learning || ,Quebec Artificial Intelligence Institute,Organization,0.352181474602435,0.413814336367875,0.383119277777914
284,285,pytorchvideo,A deep learning library for video understanding research. || ,Facebook,Organization,0.392216408249023,0.387722365264819,0.348361134743344
285,286,EmoPy,"A deep neural net toolkit for emotion analysis via Facial Expression Recognition (FER) || deep-neural-networks,facial-expression-recognition,emotion,face,neural-nets,emotion-recognition,python,fer,neural-network",ThoughtWorks Arts,Organization,0.347005927116099,0.409992430163999,0.360646634646556
288,289,euler,"A distributed graph deep learning framework. || graph,graph-learning,network-embedding,deep-learning,graph-convolutional-networks,graph-neural-networks,graphsage,random-walk,node2vec,graph-embedding,gcn,ggnn",Alibaba,Organization,0.470714849970199,0.455992151196806,0.486775491758559
290,291,vearch,"A distributed system for embedding-based retrieval || visual-search,distributed-systems,real-time-index,vectors,knn-search,machine-learning,image-search,face-recoginition,vector-search,video-search,audio-search,deep-learning,cloud-native",Vector Search Infrastructure for AI Applications,Organization,0.366290450912366,0.404275676492246,0.389435883283693
292,293,TensorComprehensions,"A domain specific language to express machine learning workloads. || machine-learning,domain-specific-language",Facebook,Organization,0.409846220294216,0.405861670416023,0.443494888400606
294,295,LightGBM,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks. || gbdt,gbm,machine-learning,data-mining,distributed,lightgbm,gbrt,microsoft,decision-trees,gradient-boosting,python,r,parallel,kaggle",Microsoft,Organization,0.953505613408663,0.847985489893351,0.834123919661942
295,296,magnitude,"A fast, efficient universal vector embedding utility package. || python,natural-language-processing,nlp,machine-learning,vectors,embeddings,word2vec,fasttext,glove,gensim,fast,memory-efficient,machine-learning-library,word-embeddings",Plasticity,Organization,0.39214925980392,0.389133716604673,0.350806030958278
297,298,catboost,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification, regression and other machine learning tasks for Python, R, Java, C++. Supports computation on CPU and GPU. || machine-learning,decision-trees,gradient-boosting,gbm,gbdt,python,r,kaggle,gpu-computing,catboost,tutorial,categorical-features,gpu,coreml,data-science,big-data,cuda,data-mining",Yandex,Organization,0.693862472628464,0.517439700239778,0.559003701086159
298,299,nnfusion,A flexible and efficient deep neural network (DNN) compiler that generates high-performance executable from a DNN model description.  || ,Microsoft,Organization,0.330449090007314,0.384122352354264,0.342276584998715
299,300,chainer,"A flexible framework of neural networks for deep learning || deep-learning,python,neural-networks,machine-learning,gpu,cuda,cudnn,numpy,cupy,chainer,neural-network",Chainer,Organization,0.672902568244972,0.59409598824601,0.682721052407021
300,301,habitat-sim,"A flexible, high-performance 3D simulator for Embodied AI research. || ai,computer-vision,robotics,simulator,sim2real,cplusplus",Facebook,Organization,0.372422591547079,0.40967431827448,0.366844703278069
301,302,serving,"A flexible, high-performance serving system for machine learning models || machine-learning,deep-learning,deep-neural-networks,python,cpp,neural-network,ml,serving,tensorflow",TensorFlow,Organization,0.641248099229552,0.687698474043032,0.610458989187946
302,303,Aiolos,"A floating panel for your iOS Apps || ios,ios-ui,swift,panel,uikit",IdeasOnCanvas,Organization,0.396722570443105,0.382872496132557,0.338645289216042
303,304,CrypTen,A framework for Privacy Preserving Machine Learning || ,Facebook,Organization,0.350820193798513,0.391332056017584,0.344705601831862
304,305,opencog,"A framework for integrated Artificial Intelligence & Artificial General Intelligence (AGI) || agi,natural-language,natural-language-inference,natural-language-understanding,robotics,robot-controller,learning,learning-algorithm,unsupervised-learning,unsupervised-machine-learning,unsupervised-learning-algorithms",OpenCog Foundation,Organization,0.435765052385622,0.486594789583713,0.667273944881059
305,306,ParlAI,A framework for training and evaluating AI models on a variety of openly available dialogue datasets. || ,Facebook,Organization,0.770857930571054,0.61708583509912,0.653976381739273
307,308,openkore,"A free/open source client and automation tool for Ragnarok Online || ragnarok,bot,perl,automation,game,mmo,mmorpg,ai",OpenKore,Organization,0.361435302083202,0.523145775218241,0.602839898008717
